epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,4061.38,1.61267,0.79457,0.00324,0.92926,0.85508,0.90303,0.56196,1.47703,0.75228,0.0033,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,4418.73,1.61229,0.79258,0.00319,0.94627,0.85948,0.90985,0.57261,1.46427,0.70541,0.00323,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,4778.93,1.59162,0.77788,0.00314,0.94549,0.86593,0.91408,0.58482,1.42381,0.69078,0.00315,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,5141.42,1.58396,0.75738,0.00313,0.9467,0.87344,0.91528,0.58514,1.40232,0.67915,0.0031,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,5501.75,1.57741,0.75217,0.0031,0.95967,0.87357,0.92046,0.59409,1.39836,0.65114,0.00306,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,5863.39,1.55724,0.72969,0.00307,0.95279,0.87653,0.92157,0.59989,1.37944,0.65361,0.00301,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,6223.38,1.55442,0.71763,0.00303,0.94995,0.87891,0.92094,0.60283,1.36737,0.64026,0.00298,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,6584.36,1.5441,0.71781,0.00299,0.96114,0.88606,0.92631,0.60738,1.36137,0.61757,0.00295,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,6945.7,1.53376,0.70859,0.003,0.95918,0.88726,0.92866,0.61046,1.35782,0.61463,0.00294,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,7303.13,1.52326,0.6969,0.00296,0.96175,0.8909,0.93025,0.61192,1.35095,0.60543,0.00291,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,7661.67,1.51949,0.69326,0.00295,0.96222,0.88538,0.92903,0.61504,1.34219,0.61087,0.00289,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,8023.88,1.51703,0.68937,0.00293,0.95748,0.88686,0.92993,0.61526,1.33457,0.60878,0.00288,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,8383.37,1.507,0.68387,0.00292,0.95982,0.89142,0.9315,0.61803,1.33016,0.60505,0.00286,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,8744.78,1.49781,0.6701,0.0029,0.95154,0.89074,0.93148,0.61953,1.32364,0.6069,0.00285,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,9105.83,1.487,0.6538,0.00288,0.95346,0.89081,0.93151,0.62037,1.32346,0.59854,0.00284,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,9463.65,1.48573,0.65329,0.00286,0.95644,0.89294,0.93129,0.62122,1.3158,0.59725,0.00283,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,9824.32,1.48249,0.65295,0.00286,0.95747,0.89572,0.93361,0.62366,1.31391,0.58815,0.00282,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,10184.6,1.46689,0.63753,0.00281,0.95828,0.89572,0.93408,0.62456,1.3091,0.58334,0.00281,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,10545,1.45653,0.63458,0.00277,0.96243,0.89585,0.93538,0.62581,1.30853,0.58168,0.0028,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,10905.2,1.45464,0.64765,0.00278,0.96098,0.89578,0.93526,0.62686,1.30971,0.5791,0.0028,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,11263.1,1.44307,0.62464,0.00274,0.9626,0.89532,0.9354,0.62665,1.30771,0.57847,0.0028,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,11621.1,1.43158,0.61431,0.0027,0.96125,0.89612,0.93535,0.62815,1.30488,0.57859,0.0028,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11982.1,1.42627,0.61681,0.0027,0.96021,0.89572,0.93577,0.62897,1.30354,0.57589,0.00279,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,12343,1.41801,0.60851,0.00267,0.96609,0.89451,0.93658,0.62943,1.30314,0.57499,0.00279,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,12706,1.40375,0.59481,0.00264,0.96345,0.89491,0.93697,0.63078,1.29698,0.57673,0.00278,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,13078.9,1.39555,0.58484,0.00264,0.96066,0.89518,0.93678,0.63114,1.29658,0.57312,0.00278,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,13453.3,1.39041,0.58693,0.00259,0.96225,0.89652,0.93739,0.63254,1.29616,0.56904,0.00277,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,13825.6,1.37897,0.57336,0.0026,0.95963,0.89572,0.93751,0.63231,1.29204,0.57151,0.00276,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,14201.6,1.37334,0.56682,0.00257,0.96005,0.89733,0.9374,0.63243,1.2908,0.56825,0.00276,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,14576.3,1.35839,0.5692,0.00254,0.9637,0.89789,0.93805,0.63327,1.29048,0.56271,0.00276,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,14954.1,1.3102,0.48995,0.00261,0.9631,0.90035,0.93887,0.6342,1.29011,0.55733,0.00275,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,15327.7,1.29883,0.4806,0.00257,0.96374,0.90001,0.93875,0.63446,1.28856,0.5552,0.00275,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,15700.5,1.28277,0.47572,0.00254,0.96528,0.89916,0.93956,0.63523,1.2842,0.5543,0.00274,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,16075.1,1.27052,0.46415,0.00251,0.96546,0.90095,0.94006,0.63673,1.28106,0.55082,0.00274,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,16450.2,1.25951,0.45821,0.00248,0.96561,0.90072,0.94201,0.63742,1.27943,0.54827,0.00273,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,16827,1.24275,0.45503,0.00242,0.96744,0.90111,0.94202,0.63797,1.27761,0.54528,0.00273,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,17203.3,1.22908,0.44769,0.00239,0.96913,0.90179,0.94271,0.63836,1.27649,0.5413,0.00273,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,17578.3,1.2166,0.44152,0.00236,0.96931,0.9028,0.94335,0.63909,1.27558,0.538,0.00272,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,17955.4,1.20734,0.43462,0.00234,0.96957,0.9027,0.94408,0.63943,1.27408,0.53603,0.00272,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,18328.7,1.19387,0.42993,0.00231,0.96792,0.90525,0.94458,0.63977,1.27268,0.53382,0.00271,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
